Arrival Time, Inter Arrival Time
563.470479,0.209740
563.991474,0.520995
564.652628,0.661154
566.570146,1.917518
566.930047,0.359900
568.528161,1.598115
568.847946,0.319785
569.817087,0.969141
570.879449,1.062362
573.150943,2.271494
573.877210,0.726268
575.393294,1.516084
575.554209,0.160915
578.257611,2.703402
580.712521,2.454911
582.436522,1.724001
585.705992,3.269469
586.912037,1.206046
589.738802,2.826765
589.824709,0.085907
590.044523,0.219814
590.388732,0.344208
590.622995,0.234263
593.095417,2.472421
597.599226,4.503810
597.747523,0.148297
599.979803,2.232280
600.262376,0.282572
601.747378,1.485003
602.101715,0.354337
602.766010,0.664294
604.219370,1.453361
608.364727,4.145356
608.551569,0.186842
612.985261,4.433693
613.848431,0.863170
617.292009,3.443578
619.917840,2.625831
621.022342,1.104502
625.883528,4.861186
626.310838,0.427310
626.752085,0.441248
627.204586,0.452501
630.051677,2.847091
630.625358,0.573681
632.115769,1.490411
634.588194,2.472425
640.472005,5.883811
645.468443,4.996438
646.260990,0.792547
647.304720,1.043730
648.316491,1.011771
650.472865,2.156374
650.910466,0.437601
653.740281,2.829814
655.864055,2.123775
658.025790,2.161735
660.105218,2.079428
661.569896,1.464678
662.157634,0.587739
665.938694,3.781060
666.490661,0.551967
675.531557,9.040896
675.731719,0.200161
675.739805,0.008086
678.098480,2.358675
678.186671,0.088192
679.327671,1.141000
680.200487,0.872815
681.158639,0.958152
683.255674,2.097035
688.416962,5.161288
688.820096,0.403134
690.842896,2.022799
691.126937,0.284042
694.613534,3.486596
698.663464,4.049931
700.382440,1.718976
705.663746,5.281306
719.269016,13.605270
720.223674,0.954658
721.021691,0.798017
724.845366,3.823675
731.275975,6.430609
731.792899,0.516924
732.260055,0.467156
736.492598,4.232542
737.125755,0.633158
738.157644,1.031889
739.132710,0.975066
739.292629,0.159919
742.051875,2.759246
743.993935,1.942060
752.489198,8.495263
753.861510,1.372312
754.249374,0.387864
755.584143,1.334769
756.810373,1.226230
758.185995,1.375622
759.861163,1.675168
762.743570,2.882407
764.847203,2.103633
768.534395,3.687192
773.576307,5.041913
775.182345,1.606038
777.267640,2.085294
778.740938,1.473299
780.273274,1.532336
783.715842,3.442568
785.769726,2.053884
787.261198,1.491472
787.565160,0.303962
788.828880,1.263720
794.165301,5.336421
796.768974,2.603673
803.569702,6.800728
804.110643,0.540941
805.886899,1.776256
807.471430,1.584531
807.885491,0.414061
811.164144,3.278653
813.914097,2.749953
818.322599,4.408502
820.374479,2.051880
823.036138,2.661659
823.507919,0.471781
827.443176,3.935257
827.701505,0.258330
837.995640,10.294135
838.096498,0.100858
839.892757,1.796259
840.147174,0.254417
840.889869,0.742696
848.484037,7.594168
849.984329,1.500292
850.381993,0.397664
854.988886,4.606893
860.368160,5.379275
864.898431,4.530270
866.387447,1.489017
866.485633,0.098186
868.519690,2.034057
868.843968,0.324278
870.470142,1.626174
871.298771,0.828629
872.730165,1.431394
872.958442,0.228278
873.454538,0.496096
873.752255,0.297717
875.287638,1.535382
875.540826,0.253188
876.432854,0.892028
877.829332,1.396478
880.969857,3.140525
881.216826,0.246969
881.765405,0.548579
882.959689,1.194284
883.374093,0.414404
883.548736,0.174643
887.669959,4.121223
889.864464,2.194505
893.947718,4.083254
894.461688,0.513970
896.214923,1.753235
6.951798,6.951798
11.497941,4.546143
12.625879,1.127938
14.813402,2.187523
21.860840,7.047437
27.433284,5.572444
